perdition's blade,ancient brewmaster,snipe,noble sacrifice,eye for an eye
battle rage,cold blood,lava burst,venture co. mercenary,power overwhelming
acolyte of pain,*kirin tor mage,eviscerate,tauren warrior,spiteful smith
raging worgen,dread corsair,inner rage,earth shock,angry chicken
misdirection,shadowstep,*blessing of wisdom,argent protector,eye for an eye
wrath,shadowflame,leper gnome,dark iron dwarf,argent protector
mana tide totem,silence,shieldbearer,venture co. mercenary,power overwhelming
